Info 0    [22:33:21.818] Starting TS Server
Info 1    [22:33:21.819] Version: 4.7.2
Info 2    [22:33:21.819] Arguments: /usr/bin/node /home/archbox/.local/lib/node_modules/typescript/lib/tsserver.js --logFile /home/archbox/Projects/nextflow-tree-sitter/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/d7939fad114bbcdacb8cd47e59b3ef21/tscancellation*
Info 3    [22:33:21.819] Platform: linux NodeVersion: 16 CaseSensitive: true
Info 4    [22:33:21.819] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [22:33:21.829] Format host information updated
Info 6    [22:33:21.945] Search path: /home/archbox/Projects/nextflow-tree-sitter
Info 7    [22:33:21.946] For info: /home/archbox/Projects/nextflow-tree-sitter/grammar.js :: No config files found.
Info 8    [22:33:21.949] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [22:33:22.555] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 605.5324989967048ms
Info 10   [22:33:22.555] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [22:33:22.555] 	Files (19)

Info 12   [22:33:22.555] -----------------------------------------------
Info 13   [22:33:22.559] AutoImportProviderProject: found 1 root files in 1 dependencies in 2.9953619986772537 ms
Info 14   [22:33:22.560] Starting updateGraphWorker: Project: /dev/null/autoImportProviderProject1*
Info 15   [22:33:22.565] Finishing updateGraphWorker: Project: /dev/null/autoImportProviderProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 4.977053001523018ms
Info 16   [22:33:22.565] Project '/dev/null/autoImportProviderProject1*' (AutoImportProvider)
Info 17   [22:33:22.565] 	Files (1)

Info 18   [22:33:22.565] -----------------------------------------------
Info 19   [22:33:44.378] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 20   [22:33:44.388] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 9.860695999115705ms
Info 21   [22:33:44.388] Different program with same set of files
Info 22   [22:33:45.232] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 23   [22:33:45.241] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 3 structureChanged: false structureIsReused:: Completely Elapsed: 8.90777499973774ms
Info 24   [22:33:45.241] Different program with same set of files
Info 25   [22:33:47.157] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 26   [22:33:47.168] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 4 structureChanged: false structureIsReused:: Completely Elapsed: 11.121926002204418ms
Info 27   [22:33:47.168] Different program with same set of files
Info 28   [22:33:47.600] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 29   [22:33:47.605] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 5 structureChanged: false structureIsReused:: Completely Elapsed: 5.202932998538017ms
Info 30   [22:33:47.605] Different program with same set of files
Info 31   [22:33:52.731] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 32   [22:33:52.747] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 6 structureChanged: false structureIsReused:: Completely Elapsed: 15.784359000623226ms
Info 33   [22:33:52.747] Different program with same set of files
Info 34   [22:33:55.012] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 35   [22:33:55.022] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 7 structureChanged: false structureIsReused:: Completely Elapsed: 9.961995001882315ms
Info 36   [22:33:55.022] Different program with same set of files
Info 37   [22:34:10.523] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 38   [22:34:10.535] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 8 structureChanged: false structureIsReused:: Completely Elapsed: 12.245296999812126ms
Info 39   [22:34:10.535] Different program with same set of files
Info 40   [22:34:11.588] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 41   [22:34:11.596] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 9 structureChanged: false structureIsReused:: Completely Elapsed: 8.280665002763271ms
Info 42   [22:34:11.596] Different program with same set of files
Info 43   [22:34:16.421] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 44   [22:34:16.435] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 10 structureChanged: false structureIsReused:: Completely Elapsed: 13.947547998279333ms
Info 45   [22:34:16.435] Different program with same set of files
Info 46   [22:34:25.880] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 47   [22:34:25.887] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 11 structureChanged: false structureIsReused:: Completely Elapsed: 7.112743999809027ms
Info 48   [22:34:25.887] Different program with same set of files
Info 49   [22:34:26.988] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 50   [22:34:26.996] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 12 structureChanged: false structureIsReused:: Completely Elapsed: 7.6052940003573895ms
Info 51   [22:34:26.996] Different program with same set of files
Info 52   [22:34:27.298] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 53   [22:34:27.308] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 13 structureChanged: false structureIsReused:: Completely Elapsed: 10.078485999256372ms
Info 54   [22:34:27.309] Different program with same set of files
Info 55   [22:34:30.023] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 56   [22:34:30.031] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 14 structureChanged: false structureIsReused:: Completely Elapsed: 7.893135000020266ms
Info 57   [22:34:30.031] Different program with same set of files
Info 58   [22:34:30.600] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 59   [22:34:30.605] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 15 structureChanged: false structureIsReused:: Completely Elapsed: 5.32617400214076ms
Info 60   [22:34:30.605] Different program with same set of files
Info 61   [22:34:32.091] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 62   [22:34:32.100] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 16 structureChanged: false structureIsReused:: Completely Elapsed: 9.117305003106594ms
Info 63   [22:34:32.100] Different program with same set of files
Info 64   [22:34:32.896] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 65   [22:34:32.901] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 17 structureChanged: false structureIsReused:: Completely Elapsed: 5.593382999300957ms
Info 66   [22:34:32.901] Different program with same set of files
Info 67   [22:34:34.188] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 68   [22:34:34.197] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 18 structureChanged: false structureIsReused:: Completely Elapsed: 9.214125003665686ms
Info 69   [22:34:34.197] Different program with same set of files
Info 70   [22:34:35.594] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 71   [22:34:35.600] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 19 structureChanged: false structureIsReused:: Completely Elapsed: 6.317154001444578ms
Info 72   [22:34:35.600] Different program with same set of files
Info 73   [22:35:01.146] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
